,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
27,40100,Fashion & Retail,François Pinault & family,86.0,France,Paris,Luxury goods,Fashion & Retail,France,,True,D,M,8/21/1936 0:00,,,1936.0,8.0,21.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
28,39100,Logistics,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,U,M,6/2/1937 0:00,,,1937.0,6.0,2.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
29,38900,Food & Beverage,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,U,M,9/21/1964 0:00,,,1964.0,9.0,21.0,117.11,1.4,"$529,606,710,418 ",79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
30,38300,Food & Beverage,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,U,F,10/10/1939 0:00,Virginia,South,1939.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,38300,Food & Beverage,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,U,M,10/15/1935 0:00,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
32,38000,Diversified,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,6/13/1928 0:00,,,1928.0,6.0,13.0,,,,,,,,,,,
33,35300,Technology,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,10/29/1971 0:00,,,1971.0,10.0,29.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
34,35000,Gambling & Casinos,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,U,F,10/10/1945 0:00,Nevada,West,1945.0,10.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35000,Finance & Investments,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,10/15/1968 0:00,Florida,South,1968.0,10.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
36,34700,Food & Beverage,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,N,M,5/7/1992 0:00,,,1992.0,5.0,7.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
37,33400,Automotive,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,,True,D,M,1/1/1969 0:00,,,1969.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
38,32600,Fashion & Retail,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,U,M,2/7/1949 0:00,,,1949.0,2.0,7.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
39,32100,Diversified,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,D,M,6/1/1957 0:00,,,1957.0,6.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
40,31600,Fashion & Retail,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,8/28/1948 0:00,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,31600,Fashion & Retail,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,1/9/1951 0:00,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
42,31200,Logistics,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,M,6/27/1940 0:00,,,1940.0,6.0,27.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
43,31200,Logistics,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,F,3/26/1945 0:00,,,1945.0,3.0,26.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227511999999999
44,30200,Technology,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,,True,U,M,2/2/1980 0:00,,,1980.0,2.0,2.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
45,29700,Manufacturing,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,U,M,4/20/1935 0:00,,,1935.0,4.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165690999999995,10.451526
46,29500,Real Estate,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,1/29/1928 0:00,,,1928.0,1.0,29.0,,,,,,,,,,,
47,28500,Finance & Investments,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,U,M,7/17/1958 0:00,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
48,28100,Finance & Investments,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,4/25/1938 0:00,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,27800,Finance & Investments,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,2/14/1947 0:00,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,27400,Automotive,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,U,F,4/28/1962 0:00,,,1962.0,4.0,28.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165690999999995,10.451526
51,27000,Metals & Mining,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,2/9/1954 0:00,,,1954.0,2.0,9.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
52,26700,Technology,William Ding,51.0,China,Hangzhou,Online games,Technology,China,,True,U,M,10/1/1971 0:00,,,1971.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
53,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,D,M,10/26/1953 0:00,,,1953.0,10.0,26.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
54,25600,Technology,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,,True,D,M,7/18/1945 0:00,,,1945.0,7.0,18.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
55,25500,Energy,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,U,M,4/17/1948 0:00,,,1948.0,4.0,17.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
56,25300,Finance & Investments,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,U,M,9/30/1944 0:00,Florida,South,1944.0,9.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
57,25200,Metals & Mining,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,U,M,3/8/1972 0:00,,,1972.0,3.0,8.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818000000004
58,24600,Automotive,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,,False,U,M,5/9/1966 0:00,,,1966.0,5.0,9.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165690999999995,10.451526
59,24400,Technology,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,,False,D,F,4/7/1970 0:00,Washington,West,1970.0,4.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
60,24200,Finance & Investments,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,U,M,1/1/1941 0:00,,,1941.0,1.0,1.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
61,23700,Metals & Mining,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,,True,U,M,1/3/1961 0:00,,,1961.0,1.0,3.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
62,23500,Technology,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,,True,U,M,9/10/1964 0:00,,,1964.0,9.0,10.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
63,23400,Manufacturing,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,,True,D,M,8/11/1942 0:00,,,1942.0,8.0,11.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,23100,Metals & Mining,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,,False,U,F,1/1/1943 0:00,,,1943.0,1.0,1.0,131.91,2.6,"$282,318,159,745 ",88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675146999999996,-71.542969
65,23100,Manufacturing,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,U,M,10/2/1939 0:00,,,1939.0,10.0,2.0,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
66,22900,Manufacturing,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,1/1/1953 0:00,,,1953.0,1.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
67,22600,Healthcare,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,,False,D,M,5/11/1941 0:00,,,1941.0,5.0,11.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
68,22400,Telecom,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,U,M,8/11/1957 0:00,,,1957.0,8.0,11.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
69,22100,Metals & Mining,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,True,U,M,5/7/1956 0:00,,,1956.0,5.0,7.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
70,22000,Food & Beverage,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,,False,D,M,9/18/1970 0:00,,,1970.0,9.0,18.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
71,21600,Finance & Investments,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,U,F,12/19/1961 0:00,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,21600,Energy,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,,True,U,M,8/11/1955 0:00,,,1955.0,8.0,11.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
73,21200,Fashion & Retail,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,,False,U,M,9/19/1986 0:00,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,21200,Service,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,,True,D,M,10/1/1970 0:00,,,1970.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
75,21100,Technology,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,U,M,2/17/1963 0:00,California,West,1963.0,2.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
76,21000,Fashion & Retail,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,D,M,3/19/1933 0:00,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,21000,Manufacturing,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,,True,D,M,6/10/1945 0:00,,,1945.0,6.0,10.0,105.48,0.5,"$5,081,769,542,380 ",63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
78,20900,Metals & Mining,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,True,U,M,9/26/1965 0:00,,,1965.0,9.0,26.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
79,20500,Energy,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,,True,U,M,9/1/1950 0:00,,,1950.0,9.0,1.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
80,20200,Healthcare,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,,True,D,M,8/12/1938 0:00,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
81,19600,Metals & Mining,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,,True,U,M,11/18/1961 0:00,,,1961.0,11.0,18.0,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
82,19100,Finance & Investments,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,D,M,8/8/1949 0:00,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
83,19000,Automotive,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,,True,D,M,6/1/1963 0:00,,,1963.0,6.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,19000,Metals & Mining,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,True,U,M,3/1/1968 0:00,,,1968.0,3.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
85,18900,Diversified,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,False,U,M,6/2/1950 0:00,,,1950.0,6.0,2.0,,,"$7,184,844,193 ",,,,,,38964.0,43.738417600000005,7.4246158
86,18900,Food & Beverage,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,,True,D,M,4/17/1965 0:00,,,1965.0,4.0,17.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
87,18700,Automotive,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,,True,D,M,2/15/1966 0:00,,,1966.0,2.0,15.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,18500,Energy,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,True,U,M,12/11/1945 0:00,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,18500,Finance & Investments,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,U,M,9/11/1957 0:00,Florida,South,1957.0,9.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
90,18500,Energy,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,,True,U,M,11/9/1952 0:00,,,1952.0,11.0,9.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.31875600000001
91,18000,Finance & Investments,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,,True,D,M,1/17/1962 0:00,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
