 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
130,50,4,3,6,17,15,165
119,40,4,5,5,14,19,316
132,56,3,3,7,26,11,58
114,41,4,5,6,20,11,76
120,56,4,3,6,24,11,70
114,58,4,3,23,60,6,10
139,56,4,3,4,14,20,364
139,50,3,4,6,21,12,97
126,52,4,4,5,17,15,163
116,53,4,3,6,20,14,132
131,50,4,4,19,53,7,13
127,55,3,3,5,20,15,152
157,48,3,4,6,19,12,98
127,50,4,4,4,15,18,265
115,48,4,4,6,18,13,119
96,40,4,6,4,12,29,707
129,43,4,4,4,14,21,353
105,46,4,4,5,15,17,228
146,55,3,3,13,43,8,20
117,57,4,3,6,20,13,105
133,55,4,3,15,46,7,15
120,45,4,5,7,22,11,67
110,57,4,3,6,18,12,103
109,46,4,4,30,65,6,7
108,45,4,5,10,35,9,35
130,55,3,3,16,47,7,15
87,46,4,5,7,21,11,65
113,54,4,4,6,20,13,113
15,41,9,32,150,79,3,2
126,56,4,3,5,19,16,172
118,47,4,4,7,23,11,62
91,39,4,6,5,17,14,147
123,51,4,3,7,27,11,70
113,50,4,4,8,30,10,51
125,55,4,3,6,24,12,72
128,48,4,4,6,19,12,101
128,46,3,4,5,15,18,269
118,59,3,3,7,21,11,71
121,50,4,4,12,38,8,22
63,49,6,9,20,51,7,12
121,48,4,4,15,44,7,15
164,41,3,5,8,25,10,50
146,58,3,3,5,15,15,220
108,54,4,3,6,22,13,115
136,44,4,4,6,18,13,112
127,60,4,3,5,16,17,227
92,43,4,5,8,29,10,44
74,42,4,6,8,26,10,44
132,69,4,3,10,38,9,29
91,37,4,8,10,30,8,30
129,51,3,4,6,20,11,78
98,42,4,5,5,17,15,154
141,54,3,3,5,19,14,129
132,55,4,3,5,17,15,166
118,57,4,3,10,37,9,31
92,41,4,6,6,22,12,90
135,41,4,5,13,39,7,16
120,39,4,5,5,16,15,164
142,56,3,3,6,20,12,100
111,49,4,4,5,18,15,160
119,57,4,3,8,28,10,50
120,50,4,3,7,24,11,69
133,53,4,3,6,24,13,94
122,44,4,4,7,27,11,59
140,56,3,3,6,21,14,127
150,46,3,4,8,26,10,51
91,52,5,5,17,46,7,12
134,47,4,3,5,18,16,181
124,55,4,4,5,18,16,171
97,38,4,7,6,21,13,100
85,38,4,7,6,20,12,82
143,47,3,4,23,53,6,8
117,53,3,3,5,18,13,124
127,56,3,3,14,44,7,18
131,54,4,3,8,25,10,60
112,44,4,5,5,20,15,156
117,58,4,3,6,20,12,96
140,52,3,4,5,17,15,169
103,46,4,5,5,17,14,137
103,51,4,5,5,18,14,143
131,50,3,4,7,21,12,82
132,61,4,3,6,21,14,111
127,56,4,3,31,72,6,7
104,54,4,4,5,16,17,209
24,29,11,60,74,69,5,4
107,43,4,5,6,16,15,176
133,55,4,3,8,27,9,42
121,58,4,3,5,17,16,177
144,59,3,3,9,37,10,39
103,62,4,3,5,20,18,199
146,51,3,4,11,36,8,26
133,47,4,4,13,38,7,18
100,44,4,5,6,16,14,159
111,43,4,4,5,20,14,125
141,56,3,3,7,23,11,69
146,43,3,4,6,17,13,121
132,51,4,3,8,30,10,42
134,49,3,3,7,23,10,59
116,53,4,3,7,24,11,64
119,55,4,3,5,15,16,233
108,50,4,4,5,17,14,143
139,52,4,3,6,21,13,104
129,52,4,3,9,31,9,33
123,55,4,3,13,42,8,19
109,45,4,4,6,23,14,111
120,56,4,3,7,24,10,53
132,46,3,4,6,18,13,118
102,42,4,5,6,19,12,94
113,36,4,6,7,25,11,69
126,46,4,4,6,17,13,124
98,41,4,5,6,25,12,84
132,65,3,3,4,15,19,273
114,44,4,4,8,27,10,57
105,44,4,5,6,22,12,86
82,39,4,7,5,17,14,136
135,60,3,3,8,30,9,38
137,63,3,3,6,25,12,85
135,54,4,4,5,19,15,160
121,48,4,4,5,16,16,202
116,56,4,3,8,25,9,44
114,52,4,4,5,16,18,234
125,40,4,5,6,23,12,80
139,51,4,3,8,29,10,53
108,58,4,3,7,22,11,67
114,45,4,4,5,17,15,169
128,44,4,4,10,30,8,29
120,50,4,4,5,18,15,172
99,41,4,5,5,16,15,174
111,50,4,4,6,24,12,81
122,50,4,3,8,29,10,46
127,51,4,3,7,27,11,60
141,49,4,4,7,21,11,78
97,45,4,5,5,16,16,184
77,39,5,8,6,17,14,144
97,43,4,5,6,18,12,111
135,48,4,4,37,74,5,5
140,52,3,4,5,19,15,152
80,38,6,12,11,40,8,27
71,36,6,12,12,38,8,28
127,51,3,4,6,22,13,110
149,51,3,3,17,49,7,14
121,53,4,3,10,31,9,35
98,47,4,4,8,27,10,49
135,50,4,4,6,25,12,75
119,52,4,3,6,20,13,102
135,51,3,3,10,37,9,33
104,46,4,4,6,19,13,117
101,50,4,4,6,17,14,136
114,54,4,3,5,15,16,229
135,53,4,3,6,23,12,73
134,47,4,4,7,25,11,67
104,54,4,4,5,18,16,174
144,56,3,3,6,22,12,81
113,59,3,3,6,20,14,121
121,50,4,4,7,23,11,76
120,53,4,3,6,24,13,97
108,42,4,5,5,18,15,157
100,49,4,5,6,18,13,116
159,49,3,4,27,63,6,7
46,50,6,11,16,42,7,18
64,51,6,9,97,93,4,2
69,39,6,14,19,52,7,13
129,41,3,5,4,14,23,428
141,56,3,3,5,19,13,112
76,41,4,7,6,19,12,96
173,61,2,4,131,98,3,2
146,53,3,3,6,20,12,96
110,35,4,7,5,15,16,218
45,35,7,23,92,82,4,3
93,43,4,5,5,19,17,187
12,36,9,39,188,66,2,4
111,90,3,2,215,58,1,9
172,43,3,5,6,17,14,157
121,54,4,4,5,16,17,215
102,54,4,4,4,15,20,305
83,42,4,6,9,31,9,36
82,40,4,7,5,15,17,250
145,52,3,4,10,32,9,32
132,50,3,3,156,78,2,4
112,54,4,4,6,20,12,98
108,54,4,3,5,21,15,151
104,38,4,6,7,29,11,64
151,58,3,3,7,23,10,59
141,47,4,4,6,20,12,87
108,53,4,3,6,19,14,119
114,52,4,3,5,19,16,163
130,49,4,4,5,19,16,167
124,51,4,4,5,18,16,172
120,51,4,4,6,20,12,89
116,57,4,3,5,21,14,121
73,49,6,8,6,22,13,113
104,51,4,4,9,35,10,40
139,48,4,4,7,23,12,79
120,46,4,5,7,24,10,48
99,44,4,4,5,19,15,141
136,46,4,4,5,17,14,158
90,42,4,5,7,22,11,68
138,53,3,3,5,15,17,238
123,67,4,3,47,76,5,4
118,59,4,3,6,19,12,96
122,44,4,5,5,14,20,361
93,61,5,5,24,61,6,9
18,33,11,57,128,79,3,3
127,53,4,4,8,22,10,50
44,34,9,36,59,82,5,4
15,33,11,60,132,77,3,3
128,57,3,3,10,30,8,29
129,56,4,3,6,16,14,162
121,58,4,3,8,30,10,45
117,55,4,4,5,19,14,139
103,43,4,5,6,19,13,116
112,48,4,4,5,19,14,130
135,46,3,4,5,17,16,173
165,43,3,5,8,28,11,58
146,51,3,3,5,17,17,217
128,50,4,4,6,22,11,78
128,51,3,4,8,29,10,50
76,38,4,9,7,25,11,59
85,39,5,7,6,25,12,83
105,48,4,4,6,23,13,94
23,38,9,35,129,86,3,2
102,42,4,5,6,19,14,145
140,51,3,4,6,21,12,85
126,53,4,4,8,30,10,41
125,57,4,3,10,34,9,31
116,49,4,3,6,20,14,133
134,56,4,3,6,19,14,143
140,47,3,4,12,43,8,24
106,49,4,4,8,26,10,51
41,43,7,17,11,31,9,33
135,50,4,3,5,20,15,155
120,35,4,7,8,30,10,45
97,40,4,6,7,27,11,58
100,49,4,4,11,36,8,23
119,61,4,3,11,36,8,29
116,51,4,4,13,35,7,19
118,49,4,4,5,19,15,156
145,53,4,3,5,18,14,138
143,54,3,4,6,18,14,130
136,55,3,3,6,22,13,107
111,51,4,3,6,19,14,129
15,34,9,41,101,80,4,2
118,53,4,3,7,22,12,97
121,50,4,4,7,24,11,60
151,60,3,3,32,60,5,5
96,40,4,6,9,30,9,33
101,49,4,4,5,16,15,173
133,56,3,3,6,17,13,125
90,57,4,4,143,105,3,2
109,51,4,4,7,30,11,61
125,57,3,3,13,40,7,19
131,61,4,3,7,28,11,57
107,43,4,4,10,33,9,32
85,39,4,7,7,22,10,61
167,47,3,4,5,16,15,169
69,51,5,7,43,76,5,5
35,54,7,14,54,66,5,5
150,49,3,4,27,66,6,8
69,50,6,10,24,55,6,12
109,51,4,4,7,24,11,59
123,58,4,3,7,30,11,66
143,45,3,4,5,14,20,355
138,54,4,3,7,26,10,53
153,57,3,3,9,32,10,46
99,41,4,6,4,16,19,278
153,52,3,4,6,17,13,132
129,61,4,3,5,16,14,162
132,49,4,4,4,13,22,411
134,54,3,3,11,40,8,28
141,55,3,3,7,23,11,69
118,55,4,3,6,25,12,76
91,44,4,5,10,30,8,26
123,57,4,3,5,19,14,143
132,60,3,3,4,12,29,737
116,64,4,3,70,86,4,3
85,43,4,5,7,29,11,62
121,43,4,5,5,16,14,158
109,58,4,3,6,23,12,75
112,50,4,4,31,65,5,6
137,53,4,3,4,14,22,407
139,60,4,3,7,23,11,61
138,57,4,3,14,40,7,17
45,43,7,20,27,59,6,9
130,53,3,3,7,27,10,56
135,59,4,3,6,22,12,79
138,46,3,4,6,23,13,93
84,60,5,5,31,67,6,7
134,54,3,3,17,52,7,14
80,41,4,6,5,21,14,131
125,52,4,4,6,19,12,89
145,51,3,4,5,15,15,192
139,48,4,4,5,15,17,247
105,46,4,4,10,33,8,27
121,54,4,3,6,19,14,126
94,48,4,4,23,55,6,9
107,44,4,4,4,14,20,327
135,50,3,3,5,21,15,137
89,50,5,5,113,86,3,2
118,55,3,3,5,16,18,238
131,54,3,3,5,18,18,217
89,40,4,6,5,22,14,118
135,64,3,3,6,20,14,123
165,49,3,4,6,21,13,111
88,46,4,5,5,16,19,295
104,42,4,5,5,16,15,185
111,47,4,4,7,26,11,60
46,37,7,23,91,90,4,2
111,39,4,5,7,25,11,71
109,55,4,3,6,19,12,100
57,34,7,22,34,71,5,6
149,50,3,3,6,19,12,90
115,48,4,4,5,16,15,169
137,65,3,3,5,16,14,171
50,40,7,17,18,47,7,15
112,52,4,4,6,22,14,125
113,49,4,4,7,24,12,74
41,45,7,17,55,68,5,5
91,50,4,5,10,33,9,30
88,44,5,7,9,36,9,40
107,57,4,3,5,19,16,171
73,40,6,15,15,45,7,19
95,38,5,9,7,29,11,57
54,39,7,20,15,43,7,20
125,54,4,3,6,23,13,102
27,35,9,35,36,61,6,7
77,41,5,11,9,34,9,37
123,75,4,2,4,13,23,497
117,45,4,4,9,28,9,37
115,53,4,3,5,19,15,150
107,54,4,3,6,20,13,103
142,53,3,4,6,16,13,149
140,52,3,4,6,22,11,73
122,58,4,3,6,18,12,111
112,53,4,4,6,22,12,86
135,56,3,3,5,16,17,198
105,46,4,4,6,23,13,103
98,50,4,4,6,18,14,149
105,50,4,4,5,16,15,182
39,43,8,25,31,65,6,6
26,34,9,38,78,75,4,3
105,50,4,5,6,17,13,131
119,55,4,3,6,18,14,144
137,50,3,4,30,65,6,6
132,48,4,4,7,22,10,58
119,45,4,4,7,27,11,60
124,75,4,2,5,19,15,150
130,48,4,4,5,15,17,227
120,49,4,4,6,23,13,107
110,45,4,4,7,23,10,54
129,52,4,3,6,19,14,130
122,54,3,3,19,52,7,12
130,51,4,3,5,16,16,193
107,47,4,4,6,22,12,89
88,39,4,7,6,23,13,93
116,51,4,4,6,16,14,154
128,59,4,3,6,18,13,121
128,57,3,3,8,30,10,52
85,41,4,6,5,16,15,188
120,48,4,4,5,17,16,189
139,55,3,3,16,48,7,16
134,48,3,4,5,22,14,118
105,55,4,4,5,15,19,286
101,51,4,4,4,13,24,479
101,55,4,3,10,32,8,27
135,52,4,3,5,16,16,203
106,39,4,5,10,34,9,35
127,54,4,3,7,27,11,70
91,43,4,5,6,22,12,95
102,47,4,4,6,18,13,129
27,35,9,34,73,66,5,5
51,40,7,16,28,59,6,9
101,52,4,4,9,32,9,40
128,48,3,4,6,25,12,72
126,53,4,3,8,31,9,40
105,50,4,4,6,22,12,90
16,35,9,40,102,81,4,2
120,55,4,3,6,18,13,122
124,60,3,3,8,26,10,55
124,55,4,3,4,18,20,266
84,38,5,10,11,42,9,28
131,62,3,3,8,22,10,54
105,51,4,4,8,31,10,43
113,59,4,3,6,20,12,87
100,49,4,4,6,18,12,106
123,48,4,4,6,21,13,100
104,45,4,4,10,35,9,34
38,38,8,27,43,72,5,5
136,51,4,3,5,16,15,179
114,45,4,4,5,20,15,150
102,54,4,3,7,26,11,60
117,53,4,3,5,21,14,119
126,51,4,4,5,16,14,168
119,48,4,4,7,21,12,93
123,55,4,3,6,24,11,70
132,48,4,4,5,16,15,186
140,52,4,3,4,13,23,493
84,58,5,5,70,81,4,3
113,51,4,4,9,33,9,40
116,52,4,3,6,21,13,98
106,62,4,3,6,18,13,118
27,34,9,36,92,69,4,4
124,55,3,3,8,27,10,54
120,54,4,3,7,24,11,73
105,42,4,5,6,22,13,106
59,39,6,12,36,63,5,6
42,53,7,14,119,84,4,2
119,49,4,4,4,16,19,250
111,48,4,4,6,22,12,82
117,51,4,3,26,64,6,8
113,52,4,3,8,31,10,50
132,49,3,4,7,21,11,69
129,54,3,3,6,23,12,90
120,50,4,4,6,19,12,93
119,54,4,4,5,17,16,188
132,55,4,3,7,25,11,64
85,39,4,6,7,21,11,67
106,51,4,4,6,18,12,105
78,44,5,7,14,45,8,20
102,50,4,4,6,18,13,115
106,54,4,3,6,21,13,109
120,54,4,3,5,13,21,394
121,50,4,4,16,45,7,15
121,50,4,4,6,19,14,124
138,56,3,3,7,26,11,61
102,47,4,4,5,17,17,197
128,50,4,4,6,18,13,119
96,44,4,5,5,21,14,116
137,56,4,3,7,22,11,70
91,44,4,5,8,29,11,56
91,42,4,6,6,19,13,106
134,57,3,3,5,17,16,187
118,49,4,4,6,18,13,120
132,49,4,3,6,25,12,82
119,53,4,4,5,19,16,167
116,58,4,3,4,14,21,359
132,56,4,3,7,26,12,76
106,54,4,4,5,14,17,288
123,52,4,3,6,21,12,81
115,57,4,3,4,13,25,523
94,41,4,5,5,16,15,175
128,52,4,4,6,17,14,150
126,54,3,3,6,21,12,100
116,55,4,4,7,23,11,63
108,51,4,4,7,24,10,56
120,44,4,4,6,21,14,133
112,56,4,3,6,17,13,123
135,50,4,3,8,28,10,52
115,51,4,4,6,19,13,100
143,59,4,3,5,16,15,189
62,51,6,8,59,78,5,3
84,40,4,6,4,14,24,466
105,42,5,7,20,55,7,13
31,34,8,29,36,63,6,7
104,53,4,4,8,26,10,55
134,46,4,4,9,30,10,42
122,58,3,3,5,15,17,229
149,52,3,3,8,24,9,46
119,53,4,3,4,15,22,352
116,51,4,3,7,25,11,66
117,47,4,4,8,29,9,41
110,54,4,3,7,28,10,50
137,50,3,3,5,21,15,132
118,53,4,4,5,16,17,206
125,63,3,3,14,42,7,19
134,55,4,3,18,51,7,14
105,46,4,5,5,17,14,133
83,43,4,5,6,21,12,95
146,50,3,4,8,29,9,37
92,43,4,5,5,19,14,121
46,48,7,14,40,69,5,6
99,49,4,4,6,23,12,86
91,44,4,5,5,14,18,293
126,40,4,4,5,19,15,160
127,51,4,4,5,18,15,170
151,56,3,3,83,97,4,2
100,39,4,6,5,16,16,191
151,48,3,4,5,14,17,268
112,47,4,4,6,18,12,100
135,61,3,3,18,47,7,13
121,57,4,4,6,18,13,132
138,45,4,4,5,21,15,139
128,42,4,5,6,18,12,111
117,43,4,5,6,19,13,104
122,50,4,4,8,29,10,45
106,50,4,4,6,19,13,122
138,61,3,3,5,19,16,173
124,52,3,3,10,37,9,29
108,52,4,4,6,21,13,101
128,53,3,4,8,28,11,56
61,48,6,11,63,89,5,3
104,46,4,5,6,23,14,112
99,48,4,4,9,34,9,34
99,41,4,6,5,16,14,168
98,48,4,4,6,19,12,96
102,52,4,3,6,17,14,133
65,43,6,10,20,54,7,13
113,52,4,4,9,34,9,39
123,53,3,3,6,21,13,107
86,40,4,6,7,20,11,74
108,53,4,4,11,39,8,23
120,53,4,3,5,21,13,106
139,53,4,3,19,50,7,14
118,59,4,3,6,18,13,117
105,50,4,4,7,24,11,71
136,56,3,3,5,19,16,168
123,41,4,4,5,17,16,186
125,61,4,3,4,14,24,454
120,52,4,4,7,25,10,54
121,55,4,4,4,15,21,323
94,50,5,7,7,21,12,86
141,55,4,3,81,93,4,2
133,56,4,3,9,28,8,28
112,48,4,4,7,26,10,48
106,48,4,5,6,19,13,110
127,56,3,3,5,17,14,148
124,49,4,4,5,16,16,199
82,41,4,6,6,21,12,89
109,60,4,3,4,14,19,318
147,49,3,4,6,20,12,100
89,43,4,5,5,17,17,227
112,46,4,4,6,26,12,74
75,40,5,8,4,13,24,538
111,47,4,4,11,36,8,26
142,55,4,3,8,25,10,47
36,34,10,44,31,64,6,8
137,60,3,3,23,58,6,9
89,48,4,5,6,20,12,93
116,58,4,3,8,27,9,36
73,46,6,9,16,48,7,18
126,50,4,4,7,30,11,59
93,41,4,5,7,24,11,68
136,47,3,4,9,35,9,36
62,43,6,11,34,64,5,6
99,47,4,5,5,20,15,152
130,48,4,4,21,59,7,12
153,46,3,4,6,23,12,80
108,43,4,5,4,15,21,351
108,47,4,4,8,31,11,54
129,42,4,4,7,27,11,62
118,55,4,3,6,20,13,102
111,51,4,4,7,22,10,60
123,47,4,4,6,21,12,89
134,55,4,3,6,21,13,106
133,52,4,3,6,21,14,122
127,58,3,3,6,21,12,91
87,41,4,6,5,16,15,178
139,52,3,4,5,19,17,190
114,48,4,4,6,23,13,100
120,43,4,4,9,25,9,33
137,51,4,4,14,43,7,17
115,51,4,4,8,33,10,47
87,47,4,5,6,23,12,86
123,58,4,3,7,24,12,77
107,46,4,4,4,16,19,250
123,58,3,3,4,12,26,598
110,56,4,4,6,18,13,117
80,45,4,5,5,16,15,196
125,60,4,3,6,19,11,86
100,46,4,4,7,22,10,59
63,80,5,4,4,14,25,470
88,43,4,5,7,25,10,55
113,49,4,4,8,22,10,52
107,50,4,4,7,25,11,67
137,64,3,3,6,21,12,81
133,47,4,4,7,24,12,85
144,47,3,4,6,21,14,114
140,56,4,3,8,28,10,53
123,52,4,4,6,17,13,141
158,59,2,4,160,63,3,4
105,45,4,4,5,18,14,137
120,45,4,4,5,17,14,143
109,55,4,3,5,16,16,202
144,68,3,2,6,19,14,145
148,58,3,3,5,17,16,184
127,53,4,3,5,20,14,118
120,49,4,4,5,16,15,190
91,39,4,6,5,15,16,233
125,55,4,3,8,26,11,59
88,41,4,6,7,23,10,57
110,46,4,4,8,30,10,49
121,52,4,3,6,17,13,139
143,52,4,3,12,42,8,27
109,48,4,4,9,28,9,35
129,49,4,4,5,14,20,364
90,40,4,6,4,14,24,444
164,58,2,4,139,99,3,2
124,47,4,4,4,13,23,438
130,41,4,5,5,20,16,163
141,56,3,3,109,95,4,2
141,58,3,3,7,30,12,71
133,54,4,3,5,19,15,143
124,54,4,3,8,29,10,47
113,50,4,4,8,27,10,55
105,51,4,4,4,14,20,330
121,55,4,4,5,15,17,225
70,39,5,9,5,14,19,313
121,58,4,3,6,19,13,122
140,57,3,3,6,20,12,101
120,52,3,3,6,17,14,145
152,49,3,3,6,25,13,93
108,55,4,4,6,20,12,91
103,55,4,3,9,27,9,36
112,48,4,4,49,66,5,4
107,52,4,4,4,15,19,272
121,53,4,4,5,15,16,220
109,54,4,4,6,18,13,117
113,48,4,4,6,26,12,87
135,43,3,4,8,27,11,57
110,51,4,4,7,27,11,68
103,49,4,4,9,30,9,38
136,45,3,4,6,20,12,100
125,57,4,3,36,58,5,8
135,51,4,4,7,24,11,73
133,47,4,3,9,32,10,42
102,45,4,5,9,32,10,40
127,54,4,3,6,20,12,101
142,56,3,3,6,17,13,143
101,44,4,5,5,16,18,237
137,47,3,4,5,14,19,331
128,53,4,3,6,22,12,80
78,40,4,7,5,19,16,168
107,53,4,4,6,19,13,109
120,50,4,4,6,18,14,145
120,58,4,3,10,37,9,33
108,39,4,6,8,29,11,55
50,33,8,33,25,60,6,10
127,56,4,3,6,20,12,101
143,57,3,3,13,40,7,18
103,50,4,4,9,33,10,41
110,51,4,3,7,22,12,90
129,57,4,3,7,20,11,72
145,51,3,3,5,22,14,126
105,54,4,3,4,14,20,351
137,51,4,3,47,77,5,3
112,46,4,4,5,16,19,275
111,56,4,3,16,44,7,14
84,41,4,6,6,23,12,80
127,51,4,4,5,17,16,200
139,44,4,4,6,21,13,102
105,48,4,4,6,20,12,85
95,46,4,4,6,20,13,107
116,52,4,3,6,17,13,139
144,51,4,3,6,17,14,138
118,51,4,4,11,36,8,25
112,53,4,4,7,27,11,68
95,49,4,4,7,24,10,54
128,63,4,3,20,53,7,11
164,60,3,3,14,44,8,23
113,51,4,4,11,34,8,25
85,58,4,4,65,86,5,3
126,47,3,4,10,38,9,34
135,55,3,3,6,26,12,73
82,43,4,5,6,22,12,96
126,50,3,3,6,20,12,98
142,57,3,3,6,19,12,99
92,52,4,4,6,23,12,90
119,50,4,4,4,12,26,589
143,46,3,4,6,18,13,115
120,52,4,4,13,39,8,25
124,53,4,3,8,25,10,55
104,49,4,4,4,15,20,304
